Nelson Mandela1 | The greatest glory in living lies not in never falling, but in rising every time we fall.
Walt Disney | The way to get started is to quit talking and begin doing.
Eleanor Roosevelt | The future belongs to those who believe in the beauty of their dreams.
John Lennon | You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.
Mahatma Gandhi | You must be the change you wish to see in the world. 
Mother Teresa | Spread love everywhere you go. Let no one ever come to you without leaving happier. 
Franklin D. Roosevelt | The only thing we have to fear is fear itself. 
Eleanor Roosevelt | Do one thing every day that scares you. 
Benjamin Franklin | Well done is better than well said.
Aristotle | It is during our darkest moments that we must focus to see the light.
Ralph Waldo Emerson | Do not go where the path may lead, go instead where there is no path and leave a trail.
Oscar Wilde | Be yourself; everyone else is already taken. 
